Capabilties,clean_text
Ability to do a mass delete of selected records,ability mass delete select record
Ability to get the List of child Record form the child Object,ability get list child record form child object
Ability to configure DRE to run automated process using predefined criteria and actions,ability configure dre run automate process use predefine criterion action
Ability to create a centralized repository (master list) of reference values or items,ability create centralize repository master list reference value item
Ability to manage and update reference data in a master list (centralized repository),ability manage update reference data master list centralize repository
Ability to run DREs for automated process without the need of writing APEX Triggers,ability run dre automate process without need write apex trigger
Ability to set business rules on how application data can be modified for use in the system,ability set business rule application datum modify use system
Ability to configure different page layouts for different record types,ability configure different page layout different record type
"Ability to run Batch DRE Rules that are not executed immediately, instead they are executed as a batch when the DRE criteria is met",ability run batch dre rule execute immediately instead execute batch dre criterion meet
Ability to configure and schedule Batch DRE Rules run (Monthly/Weekly) ,ability configure schedule batch dre rule run monthly weekly
Ability to configure and run validation DRE Rules that display an error when Data is invalid on a Record,ability configure run validation dre rule display error datum invalid record
Ability to configure and run Display Validation Rules ,ability configure run display validation rule
Ability to validate Data Filtering Criteria from the Primary Object to any Object with which it has parent or child relationship ,ability validate datum filtering criterion primary object parent child relationship
Ability to run Cross-Objects automated DRE Rules,ability run cross object automate dre rule
Ability to use simple and complex Operators to compare criteria Data Filters,ability use simple complex operator compare criterion datum filter
"Ability to use Global Tables as criteria Data Filters( example: Master List Table, Record Type, etc)",ability use global table criterion datum filter example master list table record type etc
"Ability to use different kind of Formula Functions such Round, Add Days, Add, Case, Concatenate, IF ... etc",ability use different kind formula function round add day add case concatenate etc
Ability to specify the Action to be executed (Add Letter | Add Alert | Add Alert from Template | Clone | Create| Delete | Send Email | Update.. etc),ability specify action execute add letter add alert add alert template clone create delete send email update etc
Ability to run DRE with Debug Mode to allow troubleshooting  ,ability run dre debug mode allow troubleshooting
Ability to extract Records from the application (CSV | Reports),ability extract records application csv report
"Ability to provide multiple layers of Data Security (example: Record Visibility, Field Level Security,Encryption, Masking)",ability provide multiple layer data security example record visibility field level securityencryption masking
Ability to restrict access to authorized users ,ability restrict access authorize user
"Ability to provide multiple ways of controlling User Data Visibility based on Profiles, Roles, Sharing Rules, Record Ownership",ability provide multiple way control user datum visibility base profile role sharing rule record ownership
Ability to run two-factor authentication login security,ability run two factor authentication login security
Ability to control password expiration and password creation rules,ability control password expiration password creation rule
Ability to send alerts based on business rules,ability send alert base business rule
Ability to update permits in bulk (future),ability update permit bulk future
Ability to split a parcel,ability split parcel
Ability to combine parcels,ability combine parcel
Abilty to flag an address,abilty flag address
Ability to create an alert based on business rules that are visible across agency departments and related records,ability create alert base business rule visible across agency department relate record
Ability to bulk print range of records based on specific parameters,ability bulk print range record base specific parameter
Ability to put a lock on a property,ability put lock property
Ability to automate an alert on a property based on criteria,ability automate alert property base criterion
Abilty to export record data to excel.,abilty export record datum excel
Ability to generate violation notice letters,ability generate violation notice letter
Ability to print violation notice letters from the field,ability print violation notice letter field
Ability to manage fee process based on business rules,ability manage fee process base business rule
Ability to calculate fees based on business rules,ability calculate fee base business rule
Ability to manage workflow for applications,ability manage workflow application
Ability to assign workflow items of an application,ability assign workflow item application
Ability to create and assign an address using a map,ability create assign address use map
Ability to create and assign an address range using a map,ability create assign address range use map
Ability to integrate to GIS solution for address validation.,ability integrate gis solution address validation
Ability to review application details from a map,ability review application detail map
Ability to integrate with GIS,ability integrate gis
"Ability to record variances, deviations and modifications to a parcel",ability record variance deviation modification parcel
Ability to select development area from a map,ability select development area map
Ability to manage parcels,ability manage parcel
Ability to manage addresses,ability manage address
Ability to report against record requests,ability report record request
Ability to install Sandbox environment,ability install sandbox environment
Ability to integrate with custom mapping solutions,ability integrate custom mapping solution
Ability to integrate with ESRI ArcGIS,ability integrate esri arcgis
Ability to enable SSO,ability enable sso
"Ability to provide reports on permits, inspections and applications",ability provide report permit inspection application
Ability to search all records,ability search record
Ability to report against all data,ability report datum
Ability to integrate with Document management solution.,ability integrate document management solution
Ability to create and save queries.,ability create save query
Ability to integrate with Electronic plan review software,ability integrate electronic plan review software
Ability to configure home pages by user or user profile,ability configure home page user profile
Ability to access solution from mobile devices,ability access solution mobile device
Ability to automate emails as part of application process,ability automate email part application process
Ability to provide performance metrics for permits and other data objects,ability provide performance metric permit data object
Ability to provide a system-wide audit log,ability provide system wide audit log
Ability to add time-stamp and user name to all actions,ability add time stamp user name action
Ability for desktop version of solution.,ability desktop version solution
Ability to change status automatically based on business rules,ability change status automatically base business rule
Ability to assign checklist for reviews,ability assign checklist review
Ability to manage public access to documents,ability manage public access document
Ability to restrict document deletion based on business rules,ability restrict document deletion base business rule
ability to display all addresses within a specified radius of a given address,ability display address within specify radius give address
ability to select all or individual addresses within a specified radius of a given address,ability select individual address within specify radius give address
ability to create Notice Letters for addresses selected within a specified radius of a given address,ability create notice letter address select within specified radius give address
ability for contractors to request reviews based on the business rules of the respective agency,ability contractor request review base business rule respective agency
Ability to allow access to data across the organization,ability allow access datum across organization
Ability to configure application pages to capture specific data elements,ability configure application page capture specific data element
Ability to assign plan reviewers based on business rules,ability assign plan reviewer base business rule
Ability to configure checklist of information required for plan review package,ability configure checklist information require plan review package
Ability to verify business owner information,ability verify business owner information
ability to update business license data.,ability update business license datum
ability to validate business license data from third party solution,ability validate business license data third party solution
Ability to search for businesses in back office,ability search business back office
Ability to search for business licenses on portal,ability search business license portal
Ability to configure portal based on business rules,ability configure portal base business rule
Ability for users to subscribe to alerts,ability user subscribe alert
Ability for users to subscribe to notifications,ability user subscribe notification
Ability to display public information on portal.,ability display public information portal
Ability to view training documentation on portal,ability view training documentation portal
Ability for administrators to reset passwords,ability administrator reset password
Ability to restrict data fields from public access,ability restrict data field public access
Ability to track and manage liens against a property,ability track manage lien property
Ability to print copies of application forms,ability print copy application form
Ability to capture whether a change was manual or automatic in audit trail,ability capture whether change manual automatic audit trail
Ability for solution to be ADA compliant,ability solution ada compliant
Ability to provide custom look and feel across all modules,ability provide custom look feel across module
Ability to integrate with MS Office products,ability integrate ms office product
Ability to configure forms per business rules,ability configure form per business rule
Ability to configure processes per business rules,ability configure process per business rule
Ability to create user defined fields,ability create user define field
Ability to link a contractor to multiple companies,ability link contractor multiple company
Ability to remove the link between contractor and company,ability remove link contractor company
Ability to limit record deletion based on business rules,ability limit record deletion base business rule
Ability to merge records (Future),ability merge record future
ability to maintain data history when merging record (Future),ability maintain datum history merge record future
ability to access all property attributes using a map,ability access property attribute use map
Ability to drill down to related records.,ability drill relate record
Ability to save and print a system generated document,ability save print system generate document
Ability to define data elements in a system generated document,ability define data element system generate document
Ability to manage SLA's per business rules,ability manage sla per business rule
Ability to define how data is stored and maintained,ability define datum store maintain
Ability to separate street name and number in different data fields,ability separate street name number different data field
Ability to manually override business rules,ability manually override business rule
Ability to capture audit trail when business rules are overridden manually (Future),ability capture audit trail business rule overridden manually future
Ability to capture time-stamp in audit trail,ability capture time stamp audit trail
Ability for applicants to indicate preferred method of receiving notifications,ability applicant indicate preferred method receive notification
Ability to capture electronic signature (Future),ability capture electronic signature future
Ability to add comments to record,ability add comment record
Ability to view all historical comments against a record,ability view historical comment record
Ability to maintain contact details,ability maintain contact detail
Ability to associate multiple contacts with the same company,ability associate multiple contact company
Ability to associate roles to contacts within a company,ability associate role contact within company
Ability to pull information from contact details into a related record automatically,ability pull information contact detail relate record automatically
Ability to define data access privileges to contacts.,ability define data access privilege contact
Ability to access solution from Mobile application,ability access solution mobile application
Ability to attach documents and pictures to a record from a mobile device,ability attach document picture record mobile device
Ability to print documents from a mobile device,ability print document mobile device
Ability to create reports when offline (Future),ability create report offline future
ability to capture electronic signature from mobile when offline (Future),ability capture electronic signature mobile offline future
Ability to capture geocoordinates from field and attach to record (Future),ability capture geocoordinates field attach record future
Ability to view GIS maps from mobile device,ability view gis maps mobile device
Ability for mobile application to support all mobile OS,ability mobile application support mobile os
Ability to brand mobile app to city's branding,ability brand mobile app citys brand
Ability to integrate through 3rd party service bus,ability integrate 3rd party service bus
Ability to email citizen,ability email citizen
Ability to know the hardware requirements to run the system for an end user,ability know hardware requirement run system end user
Ability to access product documentation for features and configuration,ability access product documentation feature configuration
Ability to access tier 1 support and troubleshooting,ability access tier 1 support troubleshooting
Ability to access tier 2 tech support,ability access tier 2 tech support
Ability to print all any documents that can be printed,ability print document print
Ability to manage users via standard Salesforce user managment,ability manage user via standard salesforce user managment
Ability to Integrate with External System via APIs,ability integrate external system via apis
Ability to provide optimal System Performance,ability provide optimal system performance
"Ability to support concurrent users to work on records such as viewing, editing records",ability support concurrent user work record view editing record
"Ability to look up the data model for different Clariti features (financials, permitting, etc) on a documentation portal",ability look datum model different clariti feature financial permit etc documentation portal
Ability to preserve Data Integrity and correct order or execution,ability preserve datum integrity correct order execution
"Ability to restrict access to Object, Fields, Pages by user profile",ability restrict access object field page user profile
Ability to validate incorrect Data on the Records and prevent Record Data innacuracy,ability validate incorrect datum record prevent record data innacuracy
"Ability to support industry standard web browsers such as Chrome, Mozilla, Safari",ability support industry standard web browser chrome mozilla safari
Ability to apply a filter to a list view of records of an object,ability apply filter list view record object
Provide a robust Service Oriented Architecture model,provide robust service orient architecture model
Ability to clone a report from a pre-existing report,ability clone report pre exist report
"Ability to schedule an Event related to application records with a Subject, Date, Time, and Location",ability schedule event related application record subject date time location
Ability to create a graph of data on a report,ability create graph datum report
Ability to create a summary of data on a report,ability create summary datum report
Ability to drilldown to individual records on a report,ability drilldown individual record report
Ability to import tabularized data from an external source and map to a Salesforce object,ability import tabularize data external source map salesforce object
Ability to find system related information through Documentation | Help,ability find system related information documentation help
"Ability to provide multiple environment for development, testing, uat and production",ability provide multiple environment development testing uat production
"Ability to configure Events so that application records can be scheduled with a Subject, Date, Time, and Location",ability configure event application record schedule subject date time location
Ability to create a folder structure to hold reports in structured repository,ability create folder structure hold report structure repository
Ability to create a description for a report,ability create description report
Ability to search for created reports,ability search create report
Ability to create reports,ability create report
"Ability to automate Event creation for application records with a Subject, Date, Time, and Location",ability automate event creation application record subject date time location
Ability to view reports that have already been created,ability view report already create
Ability to share a created report with another user or class of users,ability share create report another user class user
"Documentation available for features, tool, data models, configuration  ",documentation available feature tool datum model configuration
Ability to filter data on a report by a fields value,ability filter data report field value
Ability to print reports that have been created in the system,ability print report create system
Ability schedule report creation based on different criteria,ability schedule report creation base different criterion
Ability to export reports in excel or csv format  ,ability export report excel csv format
Ability to control user's log out time based on user's inactivity in the system,ability control user log time base user inactivity system
Ability to see a reports last edited date,ability see report last edited date
Ability to provide controls and mechanisms for ensuring secured coding best practices including security threats ,ability provide control mechanism ensure secure code good practice include security threat
Duplicate Ability to provide controls and mechanisms for ensuring secured coding best practices including security threats,duplicate ability provide control mechanism ensure secure code good practice include security threat
"Ability manage user session and isolate, so that a failure in one session has no impact on other user sessions.",ability manage user session isolate failure one session impact user session
Ability to edit already pre-existing reports,ability edit already pre existing report
Ability to provide different levels of access to reports,ability provide different level access report
ability to merge records while maintaining associated history (i.e. transactions) including all associated notes and attachments,ability merge record maintain associate history ie transaction include associate note attachment
Ability to utilize Einstein Analytics on the Salesforce platform to perform data analytics,ability utilize einstein analytics salesforce platform perform datum analytic
Ability to delete records based on business rules and criteria,ability delete record base business rule criterion
Ability to log and view DRE execution and exceptions,ability log view dre execution exception
Ability to configure field history tracking on up to 20 fields on any object for audit trail purposes,ability configure field history track 20 field object audit trail purpose
Ability to capture user data around changes made with field history tracking for audit trail purposes,ability capture user datum around change make field history track audit trail purpose
Ability to search for Documents ,ability search document
Ability to store and manage content Files  ,ability store manage content file
Ability to search for content documents,ability search content document
Duplicate Ability to store and manage content Files,duplicate ability store manage content file
"Ability to assign tasks link to a Permit, License, Violation, Inspection, etc",ability assign task link permit license violation inspection etc
"Ability to add notes related to a Citizen Account which include the Date/Time, Subject and full Description",ability add note related citizen account include date time subject full description
Ability to query and report on notes related to a Citizen Account,ability query report note related citizen account
Ability to assign records to Queues based on some criteria,ability assign record queue base criterion
Ability to configure the System through a set up (Administration) functionality,ability configure system set administration functionality
Ability to create unique identifiers (sequence numbers) that are dynamic depending on criteria on the record,ability create unique identifier sequence number dynamic depend criterion record
Ability to add and update a Citizen Business account with address and contact details into system into system for tracking applicants or licensees,ability add update citizen business account address contact detail system tracking applicant licensee
Ability to add and update a Citizen Person account with address and contact details into system for tracking applicants or licensees,ability add update citizen person account address contact detail system tracking applicant licensee
Ability to copy record elements and paste,ability copy record element paste
Ability to create Fields with defined single values and control the Order in which they are presented,ability create field define single value control order present
Ability to create Fields with defined multiple selectable values and control the Order in which they are presented,ability create field define multiple selectable value control order present
Ability to support formula Fields that are calculated based on predefined calculation,ability support formula field calculate base predefine calculation
"The system can generate text with alternative language characters (e.g. Chinese, Arabic, Cyrillic, etc.) on system-generated outputs.",system generate text alternative language character eg chinese arabic cyrillic etc system generate output
"The system must allow the person who initiated or a query, and a system administrator, to terminate or cancel the query while it is either processing or printing.",system must allow person initiate query system administrator terminate cancel query either processing printing
"Ability to Provide Performance  reporting, and on demand scaling for resources such as storage, servers, etc. to meet performance and availability.",ability provide performance report demand scale resource storage server etc meet performance availability
Ability to meet System compatibility requirements.,ability meet system compatibility requirement
"Ability to support standard email protocols (e.g., IMAP, MAPI, POP3, SMTP, etc.).",ability support standard email protocol eg imap mapi pop3 smtp etc
Ability to automatically test some features and functions to minimize staff time for testing.,ability automatically test feature function minimize staff time testing
"Ability to automatically notify appropriate DOL staff if there are attempts to breach system authorized security level, based on DOL business rules.",ability automatically notify appropriate dol staff attempt breach system authorize security level base dol business rule
Ability to include imaging capability or integrate with the existing DOL imaging system.,ability include image capability integrate existing dol imaging system
Ability to provide an imaging system must read bar code and other defined data elements.,ability provide imaging system must read bar code define data element
Ability to scan photos for metadata and store in the system,ability scan photo metadata store system
Ability to produce forms that are compatible with Optical Character Recognition (OCR).,ability produce form compatible optical character recognition ocr
Ability to report on the file count and size for electronic documents and photos in system,ability report file count size electronic document photo system
Ability to allow pre-population of data entry fields to index the electronic document based on a bar code or other electronic recognition method.,ability allow pre population data entry field index electronic document base bar code electronic recognition method
Ability to support on-premises trainings for administrators and users,ability support on premise training administrator user
Ability to support non-proprietary client access to raw data store,ability support non proprietary client access raw data store
Ability to update records stored in 3rd Party Imaging products with details captured in Clariti system,ability update record stored 3rd party imaging product detail capture clariti system
"Ability to support user experience on current recent browsers (Chrome, Edge, Firefox, Safari. . .)",ability support user experience current recent browser chrome edge firefox safari
Ability to support data migration from existing platform,ability support data migration exist platform
Ability accommodate future interfaces as new systems are brought into the environment.,ability accommodate future interface new system bring environment
Ability to support software license agreement that is Enterprise wide,ability support software license agreement enterprise wide
Ability to notify administrators / users when software upgrades bug fixes and patches are available,ability notify administrator user software upgrade bug fixes patch available
Ability to identify documents to be archived or purged from the system,ability identify document archive purged system
"Ability to administrate users (e.g. add, edit, delete, activate and deactivate)",ability administrate user eg add edit delete activate deactivate
Ability to link to external resources per business rules of the respective business unit.,ability link external resource per business rule respective business unit
"Ability to assign users to more than one physical area (e.g. a zone, a traffic area zone (TAZ), an occupancy type, specialty, neighborhood, planning district, CPAC, etc.).",ability assign user one physical area eg zone traffic area zone taz occupancy type specialty neighborhood planning district cpac etc
Ability to allow users to copy and paste information from various sources to include on the citation. For example: Cutting and pasting excerpts from the Statute or Municipal Code that is in violation.,ability allow user copy paste information various source include citation example cut pasting excerpt statute municipal code violation
Ability to track and report analytics data about what screen users are stopping at,ability track report analytic data screen user stop
Ability to upload supporting documents (submissions) during online application process,ability upload support document submission online application process
Ability to track all modifications to fees through audit trail,ability track modification fee audit trail
Ability to add a custom error handler for the option to track and store Clariti system errors,ability add custom error handler option track store clariti system error
Ability to assign public users in the system,ability assign public user system
